,Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
0,Andhra Pradesh,2019-05-31T00:00:00.000, Monthly,3.65,11999139,43.24,Rural
1,Andhra Pradesh,2019-06-30T00:00:00.000, Monthly,3.05,11755881,42.05,Rural
2,Andhra Pradesh,2019-07-31T00:00:00.000, Monthly,3.75,12086707,43.5,Rural
3,Andhra Pradesh,2019-08-31T00:00:00.000, Monthly,3.32,12285693,43.97,Rural
4,Andhra Pradesh,2019-09-30T00:00:00.000, Monthly,5.17,12256762,44.68,Rural
5,Andhra Pradesh,2019-10-31T00:00:00.000, Monthly,3.52,12017412,43.01,Rural
6,Andhra Pradesh,2019-11-30T00:00:00.000, Monthly,4.12,11397681,41,Rural
7,Andhra Pradesh,2019-12-31T00:00:00.000, Monthly,4.38,12528395,45.14,Rural
8,Andhra Pradesh,2020-01-31T00:00:00.000, Monthly,4.84,12016676,43.46,Rural
9,Andhra Pradesh,2020-02-29T00:00:00.000, Monthly,5.91,11723617,42.83,Rural
