,Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
0,Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139,43.24,Rural
1,Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881,42.05,Rural
2,Andhra Pradesh, 31-07-2019, Monthly,3.75,12086707,43.5,Rural
3,Andhra Pradesh, 31-08-2019, Monthly,3.32,12285693,43.97,Rural
4,Andhra Pradesh, 30-09-2019, Monthly,5.17,12256762,44.68,Rural
5,Andhra Pradesh, 31-10-2019, Monthly,3.52,12017412,43.01,Rural
6,Andhra Pradesh, 30-11-2019, Monthly,4.12,11397681,41,Rural
7,Andhra Pradesh, 31-12-2019, Monthly,4.38,12528395,45.14,Rural
8,Andhra Pradesh, 31-01-2020, Monthly,4.84,12016676,43.46,Rural
9,Andhra Pradesh, 29-02-2020, Monthly,5.91,11723617,42.83,Rural
